#{"t_start": 1710787735.6762125, "env_id": "None"}
r,l,t
-2655.3,87,2.45665
-2252.0,76,2.550676
-2553.1,83,2.654438
-3156.4,98,2.775308
-5808.6,153,2.939029
-2003.1,72,3.08585
-2106.4,77,3.188722
-1498.7,58,3.275275
-1154.2,56,3.372391
-7108.6,179,3.599367
-899.8,47,3.677714
-8008.6,197,4.0315
-10258.6,242,4.379367
-744.3,39,4.447384
-1705.3,68,4.571116
-1302.0,57,4.66695
-1347.6,54,4.779363
-6157.5,159,5.023013
-1402.0,59,5.094075
-2506.4,85,5.197626
-3557.5,107,8.352777
-2554.2,84,8.481486
-1097.6,49,8.558598
-2352.0,78,8.660291
-1705.3,68,8.777281
-3757.5,111,8.937198
-3055.3,95,9.050988
-1453.1,61,9.166821
-3356.4,102,9.316577
-1248.7,53,9.396914
-5608.6,149,9.563266
-1049.8,50,9.64066
-1252.0,56,9.761517
-2556.4,86,9.88117
-2958.6,96,9.992676
-1352.0,58,10.078541
-5058.6,138,10.207862
-2206.4,79,10.29472
-949.8,48,10.382258
-2055.3,75,10.543995
-803.1,48,10.634483
-144.3,27,10.668163
-8258.6,202,10.966417
-3008.6,97,11.07509
-344.3,31,11.148208
-6808.6,173,13.522489
-1654.2,66,13.607642
-7657.5,189,13.790938
-2104.2,75,13.871731
-1357.5,63,13.979894
-2457.5,85,14.078103
-3257.5,101,14.187888
-2454.2,82,14.308873
-3207.5,100,14.512152
-1649.8,62,14.622212
-1604.2,65,14.757772
-2754.2,88,14.886703
-1199.8,53,14.952379
-4154.2,116,15.090506
-545.4,36,15.140133
-799.8,45,15.221017
-2408.6,85,15.344836
-2853.1,89,15.4224
-1649.8,62,15.542333
-4258.6,122,15.746984
-2106.4,77,15.827442
-8258.6,202,16.130251
-4708.6,131,18.405894
-600.9,42,18.459543
-2806.4,91,18.583445
-4458.6,126,18.768733
-443.2,32,18.799935
-1306.4,61,18.89
-9208.6,221,19.182653
-1805.3,70,19.269764
-295.4,31,19.329829
-2656.4,88,19.488056
-1653.1,65,19.611626
-1300.9,56,19.703527
-1805.3,70,19.793014
-92.1,24,19.830371
-845.4,42,19.916458
-1102.0,53,20.010224
-2807.5,92,20.116909
-3858.6,114,20.2957
-1250.9,55,20.392548
-2353.1,79,20.516601
-1956.4,74,20.579202
-1752.0,66,20.679156
-1199.8,53,20.780443
-1398.7,56,20.863558
-1500.9,60,20.942701
-2002.0,71,21.056606
-3008.6,97,21.225792
-3557.5,107,21.359977
-495.4,35,21.395102
-4056.4,116,23.80736
-3706.4,109,23.926584
-2356.4,82,24.088884
-1300.9,56,24.190048
-1094.3,46,24.250346
-3200.9,94,24.36119
-3255.3,99,24.479153
-3407.5,104,24.579975
-5458.6,146,24.833087
-2455.3,83,24.993302
-4958.6,136,25.150703
-2956.4,94,25.245018
-1403.1,60,25.324647
-3507.5,106,25.433323
-1152.0,54,25.516001
-6457.5,165,25.706424
-2855.3,91,25.830693
-1100.9,52,25.928795
-649.8,42,26.020217
-696.5,40,26.10162
-2507.5,86,26.273532
-4156.4,118,26.434281
-3958.6,116,28.647181
-697.6,41,28.699362
-2302.0,77,28.789387
-648.7,41,28.824134
-998.7,48,28.885278
-1106.4,57,29.007284
-1404.2,61,29.119573
-2104.2,75,29.253961
-4408.6,125,29.420238
-647.6,40,29.456403
-2456.4,84,29.535958
-2705.3,88,29.715454
-3006.4,95,29.892425
-3906.4,113,29.997764
-1152.0,54,30.048304
-3757.5,111,30.15903
-902.0,49,30.21788
-1406.4,63,30.297811
-1756.4,70,30.388776
-5056.4,136,30.626289
-5608.6,149,30.867881
-6107.5,158,31.055865
-3607.5,108,31.167131
-1703.1,66,31.235188
-247.6,32,31.306398
-5258.6,142,33.779367
-2056.4,76,33.873543
-544.3,35,33.90975
-3758.6,112,34.030045
-849.8,46,34.063973
-3256.4,100,34.166118
-2202.0,75,34.299994
-1247.6,52,34.374357
-1404.2,61,34.44293
-3905.3,112,34.624403
-238.8,24,34.644989
-3256.4,100,34.73824
-2857.5,93,34.837778
11.2,19,34.862519
-6108.6,159,35.057115
-4655.3,127,35.165028
-3308.6,103,35.345947
-3107.5,98,35.533152
-6458.6,166,35.697034
-1202.0,55,35.786739
-3606.4,107,36.031593
-1653.1,65,36.099897
-4708.6,131,36.32252
-544.3,35,36.389207
-4808.6,133,38.685991
-3858.6,114,38.812249
-5807.5,152,39.01237
-898.7,46,39.052138
-4156.4,118,39.186493
-4258.6,122,39.387037
-1055.3,55,39.485981
-3257.5,101,39.684331
-1754.2,68,39.80914
-2508.6,87,39.985518
-1550.9,61,40.050111
-4457.5,125,40.210495
-2253.1,77,40.303869
-903.1,50,40.352566
-1204.2,57,40.409672
-1800.9,66,40.500295
-947.6,46,40.585661
-2807.5,92,40.74958
-3005.3,94,40.897823
-1805.3,70,41.061371
-3107.5,98,41.200675
-4006.4,115,41.366196
-2300.9,76,41.468022
-2004.2,73,43.766501
-7858.6,194,43.977727
-1708.6,71,44.071722
-2855.3,91,44.190036
-600.9,42,44.26902
-1805.3,70,44.403941
-1752.0,66,44.530133
-2853.1,89,44.67072
-1304.2,59,44.734064
-4053.1,113,44.926734
-8908.6,215,45.18932
-1903.1,70,45.264396
-7308.6,183,45.493065
-3106.4,97,45.700211
-2206.4,79,45.776446
-2153.1,75,45.839058
-1906.4,73,45.956792
-952.0,50,46.048447
-5358.6,144,46.183443
-1507.5,66,46.235124
-247.6,32,46.262067
-2256.4,80,46.382244
-6208.6,161,48.69591
-2256.4,80,48.782519
-2856.4,92,48.879936
-5456.4,144,49.064475
-242.1,27,49.089822
-5507.5,146,49.299546
-1499.8,59,49.419091
-5658.6,150,49.659569
-2053.1,73,49.831812
-1955.3,73,49.993012
-1103.1,54,50.093141
-2154.2,76,50.186976
-2655.3,87,50.295594
-4858.6,134,50.455284
-2155.3,77,50.592668
-2002.0,71,50.754776
-3455.3,103,50.93375
-2254.2,78,51.109871
-1752.0,66,51.2037
-2154.2,76,51.329304
-6058.6,158,51.454104
-5007.5,136,53.741417
-1303.1,58,53.821297
-3508.6,107,53.939037
-1700.9,64,54.005952
-2307.5,82,54.116895
-4206.4,119,54.249578
-1499.8,59,54.326513
-2103.1,74,54.477136
-3457.5,105,54.696819
-3255.3,99,54.788582
-4558.6,128,54.925858
-495.4,35,54.961654
-1454.2,62,55.091523
-294.3,30,55.13394
-4757.5,131,55.351528
-2005.3,74,55.466798
-2708.6,91,55.596136
-2500.9,80,55.754852
-2707.5,90,55.897509
-3808.6,113,56.012436
-7307.5,182,56.148865
-4958.6,136,56.248597
-2254.2,78,56.332259
-3805.3,110,58.642731
-1303.1,58,58.713455
-3057.5,97,58.8106
-597.6,39,58.86951
-5207.5,140,59.076113
-2255.3,79,59.188517
-2354.2,80,59.290595
-2003.1,72,59.443872
-7708.6,191,59.663996
-2503.1,82,59.803285
-289.9,26,59.867087
-2856.4,92,60.051276
-2854.2,90,60.129633
-3457.5,105,60.243692
-1703.1,66,60.318986
-3558.6,108,60.477329
-7408.6,185,60.713084
-4308.6,123,60.807823
-4456.4,124,60.940553
-1807.5,72,61.015584
-1352.0,58,61.095878
-1945.4,64,61.216447
-1498.7,58,63.508397
-2403.1,80,63.598995
-10208.6,241,63.896632
-2457.5,85,64.00965
-6008.6,157,64.229926
-1047.6,48,64.318341
-599.8,41,64.400185
-2102.0,73,64.503308
-1553.1,63,64.574717
-2055.3,75,64.702802
-1253.1,57,64.801164
-897.6,45,64.861816
-4108.6,119,65.106015
-4507.5,126,65.307286
-1306.4,61,65.400106
-647.6,40,65.478271
-496.5,36,65.556908
-3307.5,102,65.758452
-2607.5,88,65.872483
-948.7,47,65.94245
-1746.5,61,66.027627
-142.1,25,66.06207
-1200.9,54,66.155577
-2407.5,84,66.280646
-2108.6,79,66.344123
-2255.3,79,66.428397
-8708.6,211,68.802904
-3256.4,100,68.904779
-3606.4,107,69.089054
-943.2,42,69.139627
-1500.9,60,69.204734
-1346.5,53,69.276159
-3104.2,95,69.394447
-2157.5,79,69.463092
-2905.3,92,69.542534
-2300.9,76,69.607386
-1302.0,57,69.663719
-4808.6,133,69.80188
-3106.4,97,69.959368
-897.6,45,70.007215
-6808.6,173,70.273367
-1706.4,69,70.39505
-4108.6,119,70.488727
-3356.4,102,70.628136
-5208.6,141,70.800364
-2303.1,78,70.919308
-2155.3,77,71.053328
-1298.7,54,71.103454
-899.8,47,73.271666
-1755.3,69,73.350372
-999.8,49,73.41145
-445.4,34,73.446952
-3205.3,98,73.543438
-3756.4,110,73.802433
-1906.4,73,73.883096
-1900.9,68,74.00509
-3005.3,94,74.111571
-852.0,48,74.160373
-1200.9,54,74.227973
-2254.2,78,74.322465
-799.8,45,74.384259
-846.5,43,74.446014
-2856.4,92,74.607761
-5058.6,138,74.793313
-3556.4,106,74.896305
-1802.0,67,74.965459
-5106.4,137,75.209566
-648.7,41,75.291497
-1755.3,69,75.483445
-2956.4,94,75.683607
-2956.4,94,75.833271
-7058.6,178,75.989044
-3355.3,101,76.107151
-2354.2,80,78.311356
-87.7,20,78.335008
-6307.5,162,78.49472
-648.7,41,78.556528
-3007.5,96,78.811669
-3606.4,107,79.065626
-492.1,32,79.113203
-3207.5,100,79.288932
-897.6,45,79.375611
-4006.4,115,79.58276
-3056.4,96,79.769289
-1047.6,48,79.886877
-4308.6,123,80.017361
-1753.1,67,80.093746
-1652.0,64,80.225663
-2552.0,82,80.353089
-3507.5,106,80.526449
-2803.1,88,80.620682
-795.4,41,80.670346
-2053.1,73,80.82814
-1450.9,59,80.934125
-3256.4,100,81.044261
-1153.1,55,81.093883
-3208.6,101,81.201674
-2506.4,85,81.321718
-3858.6,114,81.409269
-747.6,42,83.726176
-5208.6,141,83.891034
-4508.6,127,84.11887
-1404.2,61,84.185288
-3954.2,112,84.322049
-3758.6,112,84.411178
-3108.6,99,84.49865
-897.6,45,84.553179
-797.6,43,84.651109
-2254.2,78,84.82075
